,Users,Comments
126,sonicric,Another dismal story about economy &amp; vaporizing home values in my hometown of Naples  Good time to buy but things are too promising in DC
127,webscouter,Driving from Charlestown SC to Mullins SC to a CVS. 160 miles and no time to cache. So many counties 
128,dammit89,BEING SICK ON A SATURDAY SHOULD BE DISALLOWED 
129,Shripriya,@jeffreymcmanus Be sure to tell us how it is. I wonder when the Pre comes out in GSM... T-Mob has the worst phones 
130,BridgetMae001,"@TomVMorris that was nice, I am trying to be the fire starter for my boyfriend..trying to find him a job..    Hopefully something soon."
131,Hannah_Rose91,"ok i must really start to revise now, got my first exam monday  so haven't done enough revision...opps!"
132,shelbyydanielle,going to meet up with the fab 5 for the first time in almost a year. it's really hitting me that i'm leaving soon 
133,ncarterfan,missing him so much! i really wish i could spend time with him before he leaves for colorado.... 
134,life_afairytale,"@ruchirfalodiya hey,u took hold of me again "
135,MRJAYV,"@A2ThaR  u know I'm always up early ,, so use to getting up for work that on my days off I still get up  LOL"
136,Mrs_Moons,@TheAllotmenteer. Lucky you - one side of my allotment now resembles paddy fields after 24 hours of wet stuff 
137,sadhbhkc,crazy day. just left the wrap party for hannah montana season 3  sad for the ending and stoked for a new beginning! 4th season here i come
138,ceterum,@lodossheros no @bhs3133 isn't coming back until monday 
139,sopho_suave,Having to come up with little rhymes to learn all 20 Acts and when they were. Damn you women!  xoxo
140,raptorkraine,"@James9123 Mines odd, I don't like it "
141,nikay24,I'm all alone here 
142,Aubers910,On the way to Clare for Steph's shower. I hate sitting in the backseat. 
143,B0yWonder,@LelyAnne it wasn't only your app that was acting up.. So was mine and I lost a couple of tweets bcuz of it 
144,RayRayD,no magic tickets for me 
145,KatieSass,wish i was going to see Brad Paisley tonight! 
146,gingechilla,has a spot growing on his face 
147,trudy111,@chriscornell Not raining here in Victoria! Having heat wave...finally. 32C yesterday. Sleep impossible. Birds awake @4 am ... me 2  Sigh
148,hansdegraaff,Grmbl. New computer worked for a day and now has died while adding more memory. In the shop 'till monday 
149,keylainoa,Kerline I just heard ; &amp; im sorry you&amp;your family lost such a loved one  .
150,lilyrutterford,@KristenJStewart  please reply kristen. it would be so amazing. i'm such a big fan ! please. stay amazing
151,tulipa_pt,@Tisha_Dawn Hi sweety! It's saturday and I'm working 
152,sopumpkin,watched the D-day speech on fox when the cable went dead.. 
153,dstconnected,@epiphanygirl so the birmingham show is sold out...  I didn't even get my ticket yet... that was going to be my birthday present to myself
154,little_emmo,The thing that bothers me about Sims3 is mostly the cartoony looking people. I'm so used too CC making sims look pretty lifelike 
155,jaimie37,Worst sleep ever. I'm so worried about my sick kitty cat 
156,ourseveninches,@fakesound snowing? but it's spring! 
157,triciamole,"@metrostation that's so awesome you're going to the philippines, that's where I'm from! I wish i was there now. "
158,tikuli,today is my father's 3rd death anniv ..and I am gonna loose one more person closest to my heart   .. absolutely shattered.
159,sopho_suave,Having to come up with little rhymes to learn all 20 Acts and when they were. Damn you women! 
160,katentwistle,I might have to re-do my twitter account 
161,Lee2306,boredum kicks in too easy 
162,TheCandleRanch,@SierraRanch Rain would be nice here in Austin area......however the weather man does not show any hope 
163,saphire11,Good morning twitter-friends! I was MIA last night because I was feeling under the weather  But I feel better this morn. Have a good m ...
164,_coops_,"Love you Sveta for finally not chocking and being bloody great, but: CANNOT handle when Dina cries, gosh "
165,kenmayes,That was almost 12 hours of sleep but feels like 2. 
166,Kittysaysrelax,"Oh dear, very accident prone today, list of injuries: ouchy razor cut on leg, randomly sore + bleeding lip, broken nail &amp; a grated thumb "
167,ajnisperos,Bored  Please Add Me Up!
168,tolebooth,@JasonDeehr I'm jealous!!! My camera quit working a couple months ago 
169,glo314,pLeAsE SuMoNe hEpL Me fIx mY TwItTeR ItS BaRe aN NoT wOrKiN. 
170,mojitayanipot,Funny how I still haven't seen Angels &amp; Demons... I've wanted to see it the moment the 1st trailer came out. 
171,Pandara,Anyone mind explaining this to me?  Stacking food on animals...http://tinyurl.com/36f4d6 
172,lovejonas_x,Sat in the car at tesco most of the day feeling like im gonna be sick  what a way to spend a day...
173,ang3licd3vil,my mom said she's going to wake me up 7am tomorrow. 
174,__Nina__,Someone nicked one of my books from the degree show! Who would do such a thing?!  http://tumblr.com/xht1ytybk
175,phillymac,"@newmediajim I completely understand. Pictures make my hair look thicker, I'm really see through thin on top.. "
176,larlarmarshall,"creepy dream last night, never want it to happen in real life. Watched role models last night. It actually wasn't funny "
177,meganlee2009,@Ashleyann2009 at five i do 
178,MetteBB,bored out of my mind... its raining and I feel trapped indoors 
179,inf3ktion,Most of my friends still think Twitter's only a platform for status updates. I feel sad for them.. 
180,booitsgracie,fairrr was epic on thursdayy. rain ruined todayy 
181,nbarnwal,Just me and spicy mutton curry. No one to share it with. 
182,timothyc1985aph,"It's coming to an end.... Lived, Partied, and argued with Al for 4 years and in 5 weeks time we go our separate ways. "
183,NADMEVENTS,@shaloka sowwyyyy  I was 2 busy bustin movesssss! Lol!
184,alexstanhope,"@shanehorn Soooo sorry about the misunderstanding Shane! I'm gutted too  However, glad you had a great night of it "
185,monella_,i must to study.. but i don't want! onyl 9 days to exams! 
186,shinuh,Was shooting til 4am Domanatrix mix with Ciara style..was great til My Phone Dropped &amp; Broke 
187,AnthonyLockett,Just watched #1 seeded Safina get beat by a poser 
188,EvergreenMusic,Good Morning Twitterland. What's on the agenda for the weekend? Me.... a wedding 
189,lizdelorenzo,trying to shake this cold off..worst part is i can't take anything for it 
190,OhSunshine_,"@xpianogirl what?! ooh  i think i commented in the past post..omg, my laptop is so SILLY! he sent me to the other post :S"
191,meggymooloos,@juicy376 awww  well when you find your next job cause your aiming higher im sure it will have those kind of benefits!
192,MaalHimself,@themaguire lol I haven't heard it yet  t pain the shit tho
193,pfmonaco,"To my friends from The Sims Online - http://tsostar.com will go down within a month, last chance to stroll memory lane. "
194,KRAZYDAIZIE,out of bacon 
195,sarahbath93,bought ultimate band nd island sports for the Wii 2dai. was goin 2 buy sims3 but didn't ave enough money  hope everyone is well 2dai xx
196,MalouJannsen,"I'm hungry but can't decide what to eat  that's so rude, some people in the world have nothing to eat."
197,markhendy,"@craigelder damit...I meant to say fishy, not fish.  Now I've lost the moment "
198,darklucia,"so torn. love sveta and so happy for her, but dinara  so harsh."
199,GemmaM4831,im actually so bored  and i have to work late grrrr.....
200,jessicaxie,Good luck to me!  send me happy thoughts..
201,GodsGift23,"@KimPorter827 Wedding stuff w/ Mommi now, then work at 5 "
202,ChristiRamirez,@breedimetria @blackaricanma alright ladies! I'll be back to chat l8r. Bout to take care of Lil A bcuz he doesnt feel well  ttyl twitches!
203,musicalchic87,@BlueApple77 A whole week already 
204,xbright_eyesx,now i have to go to work... booo work 
205,Kissez04,I begun my morning by turning the tv and watching Maury and Jerry springers... because I don't have cable 
206,karmachord,@salandpepper Hmm. If I ever get married I don't want to have to hide things! It would just about kill me I think 
207,caseysevenfold,"gay seats for white album tourrr,  not sure if I will go. Hopefully mother will pay for tix"
208,Lea14,"studying  , can't wait for summer!!!"
209,RyanSparkes,@Liam_Lime i havent been on myspace in like half a year at least lol. looks like im gonna spend like Ã‚Â£60 on tubes 
210,techtastic,"@UltraNurd oh wow nice, i took some time off and now im back playing my human mage and all my friends are gone so i havent seen ulduar "
211,pinkydiamonds,OMG d dance is like super fast n it makes my head spin n then I forgot the steps. 
212,Snackums,@DoubleEdgeSword no ma'am they haven't called yet.  lol!
213,DavidHughesNews,"Surfing net for studio furniture, its expensive  Just want something to hold a midi keyboard &amp; couple of monitors- not a HUGE mixing desk"
214,Benj4me,@ngw_x i know the feeling becoming a teacher or a tattoo artist!! So many good ideas but which way do you go! 
215,screwyoupunkass,@theana93 bah! Dodol lu :p males ntn the master 
216,calstout,"@ehasselbeck Cutting hair is always so sad!  Means they're growing up every day. Mine are 11, 9, 7. Miss the baby stages! Have a gr8 day!"
217,cjsec,"@DanielDanger No, I did not have a Sephiroth avatar!   ...It was a Cloud avatar, and he was photoshopped to have black hair and tears.  "
218,hippieprincess4,need to head toward Richmond VA today....for grocery shopping...the tiny town i live in carries very little vegetarian foods... 
219,ryu_kane,"&quot;Star Wars: The Old Republic&quot; is a game, not a movie. "
220,Lemuran,"Being a Serena fan I'm glad Safina lost, but being a human being my heart goes out to Dinara for her nightmare devastating lose.  "
221,gatorgirl9,@Ryan_Ferwerda does this mean u won't be attending the Boomershine BBQ? 
222,ashleychelle316,Sitting at the vet.....Bella is getting shots 
223,Kamalsmom,@ work!! Ugh I'm sooooo tired guys 
224,shevvy09,@Peeks Monday   I'll only have four days to finish all my paperwork stuff for Fri.
225,Kayerodriguez,Off we go to Downtown LA. 5 more days left 
226,GlennW,@colossalblue how crap 
227,birdgeek,early to bed 
228,smilergirl,"Oh  I'm like in tears, that poor girl. Next time Dinara."
229,pkultgen,  really wanted Safina to pull out a win &amp; to lose like that...
230,Tizix,More like alot  -sigh- is there a way u can report problems? @@
231,Rohan_01,@christinaponi ohk.... she's not on twitter.... 
232,_blurt_,"Head hurts, coldness, feel a bit faint, dizzy...But on a more important note...its my birthday 2 weeks today "
233,Bleu_Billions,@REINABARBIE makes life so hard..she doesn't wanna be mines  ..lol
234,mazzlestar,i try to take a nap and instantly i'm attacked by the severe feelings of rejection and inadequacy i've been distracting myself from  joy.
235,the_real_r2d2,"@nadia_molina this is so sad, it should not happen. Not to those children "
236,deenahagen,"@sarah_janes I've made about 10 bucks so far, its been slow too "
237,offical_milf420,i dont know why but my pictured wont upload on twitter.... hmm makes me kinda sad 
238,torilovesbradie,"Boreddddd stillll  gahh I want to go out  but noooo, I'm stuck at home on twitter...how sad!!"
239,juneb18,"just sitting thinking what to have for tea, then will be getting ready for work... "
240,xobrittboyce,rain rain go away...  working and preparing for the hair show tomorrow.
241,skwigelf,really wish I was seeing NIN/JA tonight 
242,prosnowboarder1,In Austria is bad weather   
243,Beachgirl5FANS,Is hoping ticketmaster hurry up and put the tickets up for @Mileycyrus tour 
244,seemay,"HOT, as hell...oppressive june "
245,SarahMcCall,NowWritingUpMyAd.AnybodyWantAShoot?StudentPhotographerWillShootWhereDesired.LowCostAndDiscFullOfImages.SomeoneHireMePlease  i hate my job!
246,Napjeeper,@MaryWebbJones unfortunately no  folks in my immediate area
247,SeattleSlim,yay!  i have a stomachvirus!  
248,kat_n,@tommcfly your fans are cheating tho using proxy sites    i thought mcfly were good boys too ..lol.
249,rc3,@Ataraxis00 It WAS very sad 
250,RXanthophobia,"stupid flu   i cant even study!!  ahhhhh L.J, S help me  i need hugs lewie i wanna make chicken soup BRING THE WATER!!!"
251,goldenjen88,"nnnnope, couldnt see him "
252,aschendel,Home sick  lots of plans being cancelled.
253,NiQSTReeTZ,How @SophiaF3F3 Gon Dip WeN I ScREaM @ Ha! U SuCk! 
254,Yarkii,@smallcrazy Bugger!! I thought you were starting to get some nicer weather. Poor you. 
255,lolfejs,boring weather outside  rain and shit
256,Joco1114,This is my first twitter. I had to learn to my exam of AI... 
257,Fanny_Ingabout,Phrases you don't often hear -  &quot;dreadful mistake by Shane Williams&quot;  
258,neszlifeasmcrmy,cuz they were so far away from me. i cant hold them. i cant be there when they were need my self. n you dont know how bad it feels 
259,Melissaaaa_x,Myspace won't upload my pictures from last night 
260,meggy_g,hey all not feeling so hot ... ugh i hate being sick 
261,peterjohnr,Three shows and counting. 
262,SMAC811,workingg til 3  then grad partiess
263,rachaelmorton_,@tommcfly ahaa! iv voted for you 57 times! (: but its sad you have to leave 20 minutes in between each vote  Ã¢Â™Â¥Ã¢Â™Â¥xxÃ¢Â™Â¥Ã¢Â™Â¥xxÃ¢Â™Â¥Ã¢Â™Â¥
264,quirkykitty,@dlprager  Crossing my fingers that you can take another flight very soon. NY loves you and we don't want to let you go!
265,ggnextmap,Cows hate walking on cement  i did it for the free ben and jerry's.
266,MelodyMassacre,"Ugh I hope its warm enough later on for phillips  if not, i'll just die"
267,barbelissa,glad it's cloudy out so i dont feel the need to be at the pool today since i'm bit sick 
268,paolasp,Too cold to wear a skirt for Pride.  Oh well pants it is.
269,junkieenet,hope you feel better mommy  I love you :X
270,psychomansick,i wanna talk with you right now 
271,xoPHILAox,My back hurts sooo bad 
272,liquela,"Awww, I can't see Dinara cry. "
273,Beachgirl5FANS,"@Kendal_ Babe, come on msn and send me OTH 6.23 please cause i cant find the full episode anywhere!!! "
274,babysil316,Home cleaning the house 
275,jenluvsdonnie,@Holly_Baugh Wish Ddub would've tweeted from the afterparty!! 
276,ejf11,I have just 11 boxes to complete my APT portfolio and I can do one of them 
277,CliveM,@princessnaked great tribute to David Carradine on your blog  if only it was true 
278,giovanniclean,@brehenley way to stop by and say hey! 
279,ashcash1,"@ChrisCasket where were you last nigh, HOV had twitter going craaaaaaazy about DOA.?! U feelin better "
280,Thorney88,@maureenxxx Sounds like you spoil your husband. I've got to watch whatever the ladies in my house want. I'm outnumbered 3 - 1 
281,deadlydolloh,"Seventeen bug bites, i just finished counting them. "
282,ketchupinacan,@theoceanforyou I'm sorta sad about it cause I won't be able to see you for another week.  AWWW. ;;)
283,mayax01,packing today and tomorrow.  hopefully i'll have breaks throughout the day.
284,sanlizellis,"Getting ready for a meal with my big brother, but by going and am going to miss BB on C4.  .......... oh well. x"
285,alidadas,watching Tinkerbell for 3rd time today.  Listening to children scream for 100th time today! Fed up 
286,DisneysGurl,Up.....doin clothes.....all while Mimi &amp; Pappy r on the boat!  get 2 see em wednesday tho! excited!
287,Lala_x,rain brings down my mellowness  x
288,saerbes,our roof is leaking 
289,mikaelaxmk,@Amanda_Luvs_FOB LOL I entered all the competitions for tickets but didn't win  sadtimes  xx
290,ambroseray,"@sorryabouthat henry! henri? YES! that is why i watch it. mmmhmmm. for breakfast, lunch, and dinner...bad joke. "
291,SLAPP5,"@tommcfly I tried to vote for you.  HAH. Don't worry, @gfalcone601 's second too. LOL."
292,dorkiellama,Nearly there 
293,Missawesome226,Faimly Camp out + pure tourture  Bu i get to bring LOTR so that makes it better! still printung my new set of paper dolls
294,movistar26,@johnneebee I know  I just need to be patient
295,PortiaDaCosta,"Alas, we have no pasties in the house.   But am going to get some next trip to Tesco's! @Karenknowsbest"
296,ejf11,I have just 11 boxes to complete my APT portfolio and I can't do one of them 
297,gneal04,"Of all days,my baby jaelynn rose has a fever today. "
298,dougallface,@kirstixO i know what you mean! i'm sooooooo bored  and since when have you had twitter?!
299,MarieBlayze,ii'mm sooooo tireeeddd 
300,YourSensualSpot,At work on a Saturday    Going car shopping after work though...YEAH!!!!  I'm getting rid of the sexy mobile!!!!  Lol
301,jhane_sampson,uhh!!myusername won't change!!i hate it!!..grrr!!! 
302,laurenodea,I just got home from the pub....and have to be up and get ready for work in 5 and a half hours... 
303,sopumpkin,Still no cable!  got nothing to do now..oh well..  I'm off to bed.. Haha!!
304,Bekah72,@schmanderzz hey girl! Sounds like ur having fun! I just noticed @emmaawatsonn is gone  Im really bummed about it now...
305,shinuh,"He's mad because The shoot took too long , and he fell asleep....I'm mad cuz my phone is totally done ..now 3G or refurbished.. "
306,TxOxOxTxS,Cant have my Chinese 2nite  Mum's car not going &gt; Just my luck. Bloody starving aswell
307,MartukaPop,"@ILoveGA Yeah, I LOVe Bones. But I know how it ends the Season Finale. I'm not ready to see it yet "
308,stormi_weather,I feel ya. Not at eric but people at work but i think i'd get fired  ok ttyl
309,bimbler,2 give u pros but u can only  3 in 24hrs 
310,SelinaM_xoxo,so bored... what am i going to do today ? 
311,blink182bfs,Its raining  and i was gonna have a sunball fight with fliss .. rain ball fight anyone ?
312,reillyhawk,Weekend work.  
313,ItsMeCMS,Nike laid off one of my favorite Nike Reps... there's no hope in sight for me in the near future 
314,Wendy_Weather,"@kenn8 No idea Ken, had to find my coat up again yesterday morning "
315,lilstrobe,Work soon :/ and I have the WORST mosquito bite on my heeeel 
316,circleloco,suddenly remember about a girl with 500 kg weight 
317,mcraddictal,@neszlifeasmcrmy oh nessy.  i know how you feel. I wish you were here everyday..
318,schaeferj89,@redflamerose when you think about all the things that we use that get tested on animals 
319,jesszlatos,I totally Miss tory  i havent seen her in months i mean it were just Chatting and chatting and its totally makin me miss her more
320,Blissfully_Me,"Wow, the garden is growing great.I seem to grow grass better than I do okra though  Guess I will be spending my weekend with a hoe"
321,mikagrml,it's sad how much bullshit you can find on commandlinefu.com 
322,brehenley,@giovanniclean I was on my way to work  I send my love
323,DooglerMauser,What did I do last night?  I think I tried to pour a 18 years old's worth of beer into a 40 year old body   UGH!  Headache!
324,jonnyboyslim,Doing a bit of jiggery pokery with my laptop. I think its on its last legs 
325,tkthomask,Im doing my homework on life of muslims in britain super boring essay 
326,gullevek,my head still hurts  damn ... stress??
327,ribbonsofred,CraigsList is a cesspool of bad dog owners. Ive heard every excuse for why they are abandoning their pet. Just say you dont want the dog. 
328,vicarum,And now it's raining heavily 
329,Xx_McFLY_xX,"@tommcfly I cant get on the website, so i cant vote  xxx"
330,molekulcalan,ÃƒÂ¶zleyeceÃ„ÂŸim herkesi.3ay 
331,Blackpanic10,"@tommcfly Can people still vote? Cuz when ever I go on it, it won't let me do anything.  #mcflyinamerica"
332,Lucy_Thomson,in the library doing work on a saturday mehhhhhhh 
333,XxSarahxX007,cleaning room 
334,smalltoast,@minnyyy yeah! i thought it was going to be free because i had unlimited texts!!  and it's not. 
335,resub,"Ok, Web Sharing is very disappointing  #Merlin 2"
336,Akaleez88,Does not know what to do today  the weather sucks
337,bamboobangaa,Thanks for a great night friends! No I have to get up 
338,VictoriaHoe,This one will hurt Dinara way more than the other two 
339,UBJ, tummy ache
340,afsurprise,can't sleep without him in bed w/ me... 
341,Abby935,"In Erie, PA for a soccer tournament  Anyone know of a GOOD gym here??"
342,MissSingAlot13,my legs still hurt 
343,SARAHTHEWALKER,"farewell forever, my mango friends "
